support,itemsets,length
0.006,"frozenset({'know', 'let'})",2
0.006,"frozenset({'ago', 'years'})",2
0.006,"frozenset({'birth', 'control'})",2
0.005,"frozenset({'like', 'world'})",2
0.005,"frozenset({'like', 'feel'})",2
0.005,"frozenset({'like', 'got'})",2
0.005,"frozenset({'little', 'time'})",2
0.005,"frozenset({'retweets', 'person'})",2
0.005,"frozenset({'new', 'coronavirus'})",2
0.005,"frozenset({'mental', 'health'})",2
0.005,"frozenset({'send', 'retweets'})",2
0.005,"frozenset({'send', 'person'})",2
0.004,"frozenset({'like', 'think'})",2
0.004,"frozenset({'think', 'people'})",2
0.004,"frozenset({'school', 'children'})",2
0.004,"frozenset({'tweet', 'following'})",2
0.004,"frozenset({'happy', 'day'})",2
0.004,"frozenset({'schools', 'open'})",2
0.004,"frozenset({'happy', 'birthday'})",2
0.004,"frozenset({'love', 'strong'})",2
0.004,"frozenset({'people', 'start'})",2
0.004,"frozenset({'morning', 'good'})",2
0.004,"frozenset({'retweets', 'amp'})",2
0.004,"frozenset({'cases', 'new'})",2
0.004,"frozenset({'new', 'breaking'})",2
0.004,"frozenset({'thing', 'ur'})",2
0.004,"frozenset({'women', 'control'})",2
0.004,"frozenset({'likes', 'retweets'})",2
0.003,"frozenset({'think', 'amp'})",2
0.003,"frozenset({'new', 'going'})",2
0.003,"frozenset({'school', 'think'})",2
0.003,"frozenset({'school', 'years'})",2
0.003,"frozenset({'country', 'trump'})",2
0.003,"frozenset({'know', 'retweet'})",2
0.003,"frozenset({'retweets', 'following'})",2
0.003,"frozenset({'ends', 'enter'})",2
0.003,"frozenset({'new', 'know'})",2
0.003,"frozenset({'know', 'like'})",2
0.003,"frozenset({'bts', 'happy'})",2
0.003,"frozenset({'army', 'day'})",2
0.003,"frozenset({'army', 'great'})",2
0.003,"frozenset({'love', 'amp'})",2
0.003,"frozenset({'love', 'thank'})",2
0.003,"frozenset({'happy', 'thank'})",2
0.003,"frozenset({'best', 'thank'})",2
0.003,"frozenset({'happy', 'family'})",2
0.003,"frozenset({'love', 'family'})",2
0.003,"frozenset({'amp', 'family'})",2
0.003,"frozenset({'like', 'sounds'})",2
0.003,"frozenset({'new', 'amp'})",2
0.003,"frozenset({'school', 'public'})",2
0.003,"frozenset({'years', 'public'})",2
0.003,"frozenset({'like', 'people'})",2
0.003,"frozenset({'need', 'people'})",2
0.003,"frozenset({'amp', 'social'})",2
0.003,"frozenset({'sex', 'time'})",2
0.003,"frozenset({'owned', 'business'})",2
0.003,"frozenset({'makes', 'sense'})",2
0.003,"frozenset({'know', 'follow'})",2
0.003,"frozenset({'let', 'follow'})",2
0.003,"frozenset({'police', 'blm'})",2
0.003,"frozenset({'got', 'ta'})",2
0.003,"frozenset({'person', 'amp'})",2
0.003,"frozenset({'person', 'going'})",2
0.003,"frozenset({'come', 'years'})",2
0.003,"frozenset({'tweet', 'amp'})",2
0.003,"frozenset({'rt', 'help'})",2
0.003,"frozenset({'new', 'record'})",2
0.003,"frozenset({'record', 'world'})",2
0.003,"frozenset({'record', 'day'})",2
0.003,"frozenset({'trump', 'moment'})",2
0.003,"frozenset({'stay', 'amp'})",2
0.003,"frozenset({'people', 'years'})",2
0.003,"frozenset({'vindman', 'alexander'})",2
0.003,"frozenset({'know', 'look'})",2
0.003,"frozenset({'wo', 'government'})",2
0.003,"frozenset({'like', 'life'})",2
0.003,"frozenset({'day', 'amp'})",2
0.003,"frozenset({'new', 'day'})",2
0.003,"frozenset({'said', 'asked'})",2
0.003,"frozenset({'day', 'work'})",2
0.003,"frozenset({'police', 'biden'})",2
0.003,"frozenset({'said', 'biden'})",2
0.003,"frozenset({'new', 'video'})",2
0.003,"frozenset({'die', 'watch'})",2
0.003,"frozenset({'new', 'live'})",2
0.003,"frozenset({'education', 'public'})",2
0.003,"frozenset({'education', 'years'})",2
0.003,"frozenset({'school', 'educator'})",2
0.003,"frozenset({'devos', 'betsy'})",2
0.003,"frozenset({'having', 'thing'})",2
0.003,"frozenset({'having', 'day'})",2
0.003,"frozenset({'tweet', 'retweets'})",2
0.003,"frozenset({'day', 'bad'})",2
0.003,"frozenset({'like', 'bad'})",2
0.003,"frozenset({'like', 'let'})",2
0.003,"frozenset({'like', 'place'})",2
0.003,"frozenset({'send', 'hours'})",2
0.003,"frozenset({'hours', 'retweets'})",2
0.003,"frozenset({'hours', 'person'})",2
