tweets
"['funny', 'lmfaaooo']"
"['vote', 'choice']"
"['right', 'country', 'like', 'boat', 'captain', 'knows', 'going', 'hospital', 'florida', 'arizona', 'la', 'want', 'children', 'school', 'think', 'world', 'care', 'set']"
"['ariana', 'merch', 'giveaway', 'pick', 'item', 'website', 'retweet', 'enter', 'ends', 'payday', 'international', 'okay', 'giving', 'address', 'fake', 'following', 'pls', 'spam']"
"['know', 'excited', 'army', 'uncover', 'wanted', 'peek', 'exclusive', 'galaxy', 'bts', 'edition', 'box']"
['said']
"['guys', 'facing', 'genocide']"
"['feeling', 'teachers', 'going', 'left', 'buy', 'masks', 'students', 'want', 'feel', 'safe', 'classrooms']"
['love']
"['thank', 'service', 'demonstrating', 'true', 'courage', 'patriotism', 'sorely', 'needed', 'best', 'wishes', 'family', 'happy', 'successful', 'chapter']"
"['ptaliftbanonpubg', 'unbanpubgpakistan', 'esports', 'joke', 'banning', 'pubg', 'fair', 'want', 'career', 'gaming']"
"['attempt', 'fix', 'end', 'making', 'worse', 'today']"
"['chaggie', 'art', 'love', 'hazbinhotel', 'hazbinhotelfanart']"
"['plan', 'flying', 'plane', 'soon', 'expect', 'newnormal']"
"['sounds', 'like', 'written', 'cat']"
"['ren', 'jamie', 'new', 'know']"
"['know', 'americans', 'confident', 'children', 'led', 'slaughter', 'child', 'grandchild', 'families', 'attend', 'public', 'school', 'months', 'lead', 'example']"
"['dog', 'vibe', 'checking', 'people']"
"['dissertation', 'liked', 'quality', 'bracelets', 'choose', 'pandora']"
"['anti', 'ableist', 'looking', 'ableism', 'works', 'support', 'white', 'supremacy', 'promise']"
"['sm', 'anniversary', 'feat', 'showbt', 'philippines']"
"['current', 'fav', 'tho', 'berserk']"
"['worldwide', 'calls', 'better', 'treatment', 'read']"
"['found', 'vlive', 'jeonghan', 'talking', 'got', 'punched', 'friend', 'said', 'lose', 'fight', 'teeth']"
"['chemistry', 'winning', 'vote']"
"['whippet', 'need', 'exercise', 'total', 'couch', 'potatoes', 'time', 'little', 'grooming', 'gentle', 'natured', 'bark', 'hardly', 'sure', 'typical']"
['real']
"['goes', 'chelsea', 'miss', 'thiago', 'die', 'tbh']"
"['physically', 'impossible', 'social', 'distance', 'students', 'school', 'schoolsreopening']"
[]
"['vodka', 'water', 'bottle', 'expecting']"
"['black', 'asian', 'etc', 'hate', 'america', 'sin']"
"['cumming', 'time', 'tier', 'sex']"
"['white', 'guy', 'care', 'says']"
"['longer', 'worlds', 'wealth', 'owned', 'evil', 'greedy', 'corrupt', 'believe', 'want', 'grain', 'salt', 'open', 'eyes', 'virus', 'research', 'happening']"
['true']
"['sense', 'ftr', 'came', 'firing', 'shots', 'literally', 'helped', 'bucks', 'story', 'wise', 'breadcrumb', 'birthday', 'cake']"
"['water', 'bomb', 'spring', 'gon', 'hit', 'different']"
"['today', 'offer', 'gamer', 'jungkook']"
"['guys', 'trends', 'handle', 'amp', 'fan', 'pages', 'works', 'hard', 'kept', 'trend', 'fans', 'co', 'operate', 'wit']"
"['yeah', 'know', 'need', 'braids', 'dreading', 'hair', 'detangling', 'follow']"
"['eat', 'pork', 'definitely', 'needs', 'handful', 'fries']"
"['vistace', 'donald']"
"['constantly', 'remember', 'time', 'diagnosed', 'disease', 'doctors', 'misdiagnosed', 'stand', 'little', 'taller', 'got']"
"['fe', 'fighters', 'corrin', 'japan', 'got', 'fates', 'people', 'wanted']"
"['great', 'money', 'hyping', 'climatefraud']"
"['want', 'destined', 'receive']"
"['lady', 'antebellum', 'changing', 'solidarity', 'blm', 'sue', 'actual', 'black', 'artist', 'performative', 'wokeness', 'bleakest']"
"['highlighter', 'omg', 'got', 'ta', 'nabla', 'skin', 'glazing', 'shade', 'lucent', 'jungle']"
"['welcome', 'therapy', 'sessions', 'songwriters', 'episode', 'uk', 'track', 'worry', 'album', 'time', 'working', 'sam', 'loved', 'came', 'check']"
"['interesting', 'question', 'afraid', 'match', 'organs', 'richie', 'rich', 'person', 'conveniently', 'suicided']"
"['tired', 'lazy', 'consider', 'recording', 'reading', 'certain', 'fics', 'listen', 'relax', 'lol', 'remember', 'listening', 'voice', 'cringe']"
"['liked', 'wanted', 'come', 'tweet', 'drag']"
"['rt', 'ilhan', 'omar', 'censured', 'removed', 'office', 'immediately']"
['coming']
"['thread', 'spongebob', 'pictures', 'asking']"
