tweets
"['mail', 'order', 'bleach', 'based', 'remedy', 'fraud', 'prison', 'sentence', 'stuff', 'mention', 'malpractice', 'sounds', 'like', 'pretty', 'iron', 'clad', 'case', 'cancelling', 'tax', 'exempt', 'status', 'religious', 'organization']"
"['pence', 'want', 'guidance', 'cdc', 'reason', 'schools', 'open']"
"['want', 'learn', 'biobot', 'watch', 'short', 'video', 'wastewater', 'epidemiology', 'help', 'track']"
"['agree', 'teachers', 'parents', 'entire', 'reopen', 'push', 'kochnetwork', 'amp', 'councilfornationalpolicy', 'agenda', 'systemically', 'attacking', 'public', 'ed', 'yrs', 'attempting', 'use', 'crisis', 'force', 'crash', 'thread']"
"['new', 'cases', 'diagnosed', 'nsw', 'pm', 'july', 'returned', 'travellers', 'hotel', 'quarantine', 'earlier', 'reported', 'probable', 'albury', 'confirmed']"
"['need', 'senate', 'pass', 'heroesact', 'americans', 'country', 'relief', 'bill', 'reopens', 'schools', 'safely', 'gets', 'work', 'cc']"
"['wearing', 'mask', 'gives', 'freedom', 'things', 'love', 'increased', 'risk', 'contracting', 'pennsylvania', 'masks', 'required', 'leaving', 'home', 'maskuppa']"
"['prepare', 'food', 'systems', 'long', 'haul', 'fight', 'foodsystems', 'policy']"
"['canada', 'economic', 'response', 'plan', 'ensuring', 'canadians', 'support', 'need', 'food', 'table', 'roof', 'head', 'learn']"
"['great', 'decision', 'students', 'health', 'athletics']"
"['scaremongering', 'surge', 'decoded', 'younger', 'people', 'dying', 'hospitalized', 'reason', 'tested', 'listed', 'positive', 'necessary', 'develop', 'herd', 'immunity', 'lockdowns']"
"['impact', 'sars', 'viral', 'load', 'risk', 'intubation', 'mortality', 'hospitalized', 'patients', 'coronavirus', 'disease', 'paper', 'cid', 'admission', 'correlates']"
"['comes', 'predicted', 'trump', 'rally', 'outbreak', 'tulsa', 'county', 'reported', 'nearly', 'new', 'cases', 'past', 'days', 'deemed', 'likely', 'linked']"
"['years', 'chronic', 'understaffing', 'long', 'term', 'care', 'homes', 'forced', 'family', 'members', 'fill', 'gaps', 'shut', 'lockdown', 'caregivers', 'frustrated', 'new', 'ltc', 'visitation', 'guidelines', 'amp', 'worried', 'loved', 'ones', 'onpoli']"
"['enjoy', 'foxandfriends', 'morningjoe', 'wednesdaythoughts', 'wednesdaywisdom']"
"['cost', 'recovering', 'carried', 'richest', 'struggling', 'liberals', 'close', 'loopholes', 'amp', 'stop', 'wealthiest', 'cheating', 'pay', 'fair', 'share', 'fortunes', 'million', 'little', 'bit']"
"['thread', 'looks', 'conflicting', 'evidence', 'amp', 'inexplicable', 'memory', 'loss', 'sage', 'members', 'questioned', 'failure', 'model', 'lockdown', 'til', 'mid', 'march', 'herdimmunity', 'abandoning', 'community', 'testing', 'changing', 'govt', 'messaging']"
"['comes', 'predicted', 'trump', 'rally', 'outbreak', 'tulsa', 'county', 'reported', 'nearly', 'new', 'cases', 'past', 'days', 'deemed', 'likely', 'linked']"
"['efforts', 'reduce', 'risk', 'infection', 'health', 'workers', 'ncdc', 'collaboration', 'continues', 'conduct', 'lpc', 'training', 'nigeria', 'ongoing', 'katsina', 'state', 'critical', 'reducing', 'transmission', 'nationwide']"
"['florida', 'california', 'impacted', 'states', 'covid', 'cases', 'rampant', 'increasing', 'containment', 'levels', 'daily', 'disney', 'parks', 'opening', 'disgrace']"
"['reports', 'race', 'ethnicity', 'data', 'age', 'groups', 'latest', 'visit']"
"['comes', 'predicted', 'trump', 'rally', 'outbreak', 'tulsa', 'county', 'reported', 'nearly', 'new', 'cases', 'past', 'days', 'deemed', 'likely', 'linked']"
"['wv', 'year', 'met', 'women', 'shared', 'opioid', 'epidemic', 'affected', 'amp', 'importance', 'community', 'efforts', 'recovery', 'left', 'feeling', 'risk', 'let', 'continue', 'share', 'resources', 'victims', 'willing', 'seek', 'help', 'bebest']"
"['new', 'cases', 'diagnosed', 'nsw', 'pm', 'july', 'returned', 'travellers', 'hotel', 'quarantine', 'earlier', 'reported', 'probable', 'albury', 'confirmed']"
"['masks', 'work', 'people', 'worried', 'risk', 'definitely', 'wear', 'leave', 'rest', 'lives', 'lockdowns', 'destroy', 'america', 'wo', 'matter', 'survival', 'rates']"
"['wv', 'year', 'met', 'women', 'shared', 'opioid', 'epidemic', 'affected', 'amp', 'importance', 'community', 'efforts', 'recovery', 'left', 'feeling', 'risk', 'let', 'continue', 'share', 'resources', 'victims', 'willing', 'seek', 'help', 'bebest']"
"['wednesday', 'eve', 'letter', 'hype', 'throwing', 'caution', 'wind', 'mea', 'culpa', 'tenous', 'sovereignty', 'courage', 'party', 'bros']"
"['questions', 'need', 'answers', 'barrels', 'schoolsreopening', '-can', 'children', 'infect', 'parents', 'grandparents', '-how', 'social', 'distance', 'classroom', '-will', 'graders', 'wear', 'masks', '-why', 'korea', 'shut', 'schools', 'reopening']"
"['governors', 'responsible', 'deaths', 'forcing', 'nursing', 'homes', 'accept', 'infected', 'patients', 'charged', 'manslaughter']"
"['expanding', 'notification', 'involving', 'orange', 'yesterday', 'authority', 'said', 'exposure', 'canadaday', 'added', 'july', 'second', 'person', 'tested', 'positive', 'virus', 'dates']"
"['latest', 'data', 'california', 'staying', 'home', 'practicing', 'physical', 'distancing', 'helping', 'bend', 'curve']"
"['wednesday', 'think', 'mayor', 'presser', 'los', 'angeles', 'city', 'hall']"
