support,itemsets,length
0.15,"frozenset({'cases', 'new'})",2
0.113,"frozenset({'cases', 'trump'})",2
0.112,"frozenset({'cases', 'reported'})",2
0.109,"frozenset({'new', 'reported'})",2
0.103,"frozenset({'cases', 'days'})",2
0.101,"frozenset({'cases', 'tulsa'})",2
0.1,"frozenset({'new', 'trump'})",2
0.1,"frozenset({'rally', 'tulsa'})",2
0.1,"frozenset({'trump', 'rally'})",2
0.1,"frozenset({'cases', 'rally'})",2
0.099,"frozenset({'new', 'days'})",2
0.099,"frozenset({'trump', 'tulsa'})",2
0.099,"frozenset({'new', 'rally'})",2
0.098,"frozenset({'new', 'tulsa'})",2
0.097,"frozenset({'trump', 'days'})",2
0.097,"frozenset({'days', 'tulsa'})",2
0.097,"frozenset({'rally', 'days'})",2
0.093,"frozenset({'trump', 'reported'})",2
0.093,"frozenset({'cases', 'past'})",2
0.092,"frozenset({'cases', 'outbreak'})",2
0.092,"frozenset({'cases', 'likely'})",2
0.091,"frozenset({'new', 'nearly'})",2
0.091,"frozenset({'cases', 'nearly'})",2
0.091,"frozenset({'cases', 'county'})",2
0.091,"frozenset({'days', 'past'})",2
0.091,"frozenset({'new', 'past'})",2
0.091,"frozenset({'trump', 'comes'})",2
0.091,"frozenset({'new', 'outbreak'})",2
0.091,"frozenset({'new', 'likely'})",2
0.09,"frozenset({'days', 'reported'})",2
0.09,"frozenset({'trump', 'nearly'})",2
0.09,"frozenset({'new', 'county'})",2
0.09,"frozenset({'rally', 'past'})",2
0.09,"frozenset({'past', 'tulsa'})",2
0.09,"frozenset({'trump', 'past'})",2
0.09,"frozenset({'outbreak', 'reported'})",2
0.09,"frozenset({'rally', 'likely'})",2
0.09,"frozenset({'likely', 'tulsa'})",2
0.089,"frozenset({'reported', 'nearly'})",2
0.089,"frozenset({'days', 'nearly'})",2
0.089,"frozenset({'nearly', 'tulsa'})",2
0.089,"frozenset({'reported', 'tulsa'})",2
0.089,"frozenset({'rally', 'nearly'})",2
0.089,"frozenset({'rally', 'reported'})",2
0.089,"frozenset({'rally', 'county'})",2
0.089,"frozenset({'county', 'tulsa'})",2
0.089,"frozenset({'county', 'nearly'})",2
0.089,"frozenset({'county', 'reported'})",2
0.089,"frozenset({'county', 'days'})",2
0.089,"frozenset({'trump', 'county'})",2
0.089,"frozenset({'county', 'past'})",2
0.089,"frozenset({'past', 'nearly'})",2
0.089,"frozenset({'past', 'reported'})",2
0.089,"frozenset({'comes', 'past'})",2
0.089,"frozenset({'county', 'comes'})",2
0.089,"frozenset({'rally', 'comes'})",2
0.089,"frozenset({'comes', 'tulsa'})",2
0.089,"frozenset({'comes', 'nearly'})",2
0.089,"frozenset({'comes', 'reported'})",2
0.089,"frozenset({'days', 'comes'})",2
0.089,"frozenset({'new', 'comes'})",2
0.089,"frozenset({'cases', 'comes'})",2
0.089,"frozenset({'comes', 'outbreak'})",2
0.089,"frozenset({'past', 'outbreak'})",2
0.089,"frozenset({'county', 'outbreak'})",2
0.089,"frozenset({'rally', 'outbreak'})",2
0.089,"frozenset({'outbreak', 'tulsa'})",2
0.089,"frozenset({'outbreak', 'nearly'})",2
0.089,"frozenset({'days', 'outbreak'})",2
0.089,"frozenset({'trump', 'outbreak'})",2
0.089,"frozenset({'outbreak', 'likely'})",2
0.089,"frozenset({'comes', 'likely'})",2
0.089,"frozenset({'past', 'likely'})",2
0.089,"frozenset({'county', 'likely'})",2
0.089,"frozenset({'nearly', 'likely'})",2
0.089,"frozenset({'reported', 'likely'})",2
0.089,"frozenset({'days', 'likely'})",2
0.089,"frozenset({'trump', 'likely'})",2
0.089,"frozenset({'predicted', 'likely'})",2
0.089,"frozenset({'outbreak', 'predicted'})",2
0.089,"frozenset({'comes', 'predicted'})",2
0.089,"frozenset({'past', 'predicted'})",2
0.089,"frozenset({'county', 'predicted'})",2
0.089,"frozenset({'rally', 'predicted'})",2
0.089,"frozenset({'predicted', 'tulsa'})",2
0.089,"frozenset({'predicted', 'nearly'})",2
0.089,"frozenset({'reported', 'predicted'})",2
0.089,"frozenset({'days', 'predicted'})",2
0.089,"frozenset({'trump', 'predicted'})",2
0.089,"frozenset({'new', 'predicted'})",2
0.089,"frozenset({'cases', 'predicted'})",2
0.089,"frozenset({'predicted', 'deemed'})",2
0.089,"frozenset({'likely', 'deemed'})",2
0.089,"frozenset({'outbreak', 'deemed'})",2
0.089,"frozenset({'comes', 'deemed'})",2
0.089,"frozenset({'past', 'deemed'})",2
0.089,"frozenset({'county', 'deemed'})",2
0.089,"frozenset({'rally', 'deemed'})",2
0.089,"frozenset({'tulsa', 'deemed'})",2
0.089,"frozenset({'nearly', 'deemed'})",2
