support,itemsets,length
0.003,"frozenset({'retweets', 'send', 'hours', 'person', 'amp'})",5
0.003,"frozenset({'norway', 'open', 'germany', 'schools', 'denmark'})",5
0.003,"frozenset({'retweets', 'send', 'hours', 'person', 'likes'})",5
0.003,"frozenset({'send', 'hours', 'person', 'amp', 'likes'})",5
0.003,"frozenset({'retweets', 'send', 'person', 'amp', 'likes'})",5
0.003,"frozenset({'retweets', 'hours', 'person', 'amp', 'likes'})",5
0.003,"frozenset({'retweets', 'send', 'hours', 'amp', 'likes'})",5
0.003,"frozenset({'retweets', 'send', 'hours', 'follows', 'likes'})",5
0.003,"frozenset({'send', 'hours', 'person', 'follows', 'likes'})",5
0.003,"frozenset({'send', 'hours', 'follows', 'amp', 'likes'})",5
0.003,"frozenset({'retweets', 'hours', 'person', 'follows', 'likes'})",5
0.003,"frozenset({'retweets', 'hours', 'follows', 'amp', 'likes'})",5
0.003,"frozenset({'hours', 'person', 'follows', 'amp', 'likes'})",5
0.003,"frozenset({'retweets', 'send', 'person', 'follows', 'likes'})",5
0.003,"frozenset({'retweets', 'send', 'follows', 'amp', 'likes'})",5
0.003,"frozenset({'send', 'person', 'follows', 'amp', 'likes'})",5
0.003,"frozenset({'retweets', 'person', 'follows', 'amp', 'likes'})",5
0.003,"frozenset({'retweets', 'send', 'hours', 'person', 'follows'})",5
0.003,"frozenset({'retweets', 'send', 'hours', 'follows', 'amp'})",5
0.003,"frozenset({'send', 'hours', 'person', 'follows', 'amp'})",5
0.003,"frozenset({'retweets', 'hours', 'person', 'follows', 'amp'})",5
0.003,"frozenset({'retweets', 'send', 'person', 'follows', 'amp'})",5
0.002,"frozenset({'retweets', 'send', 'tweet', 'person', 'following'})",5
0.002,"frozenset({'retweets', 'going', 'send', 'person', 'following'})",5
0.002,"frozenset({'going', 'send', 'tweet', 'person', 'following'})",5
0.002,"frozenset({'retweets', 'going', 'tweet', 'person', 'following'})",5
0.002,"frozenset({'retweets', 'going', 'send', 'tweet', 'following'})",5
0.002,"frozenset({'years', 'need', 'school', 'public', 'actually'})",5
0.002,"frozenset({'called', 'health', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'fucking', 'called', 'health', 'physically', 'ur'})",5
0.002,"frozenset({'fucking', 'health', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'fucking', 'called', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'fucking', 'called', 'health', 'physically', 'mental'})",5
0.002,"frozenset({'having', 'fucking', 'health', 'physically', 'ur'})",5
0.002,"frozenset({'having', 'fucking', 'called', 'physically', 'ur'})",5
0.002,"frozenset({'having', 'fucking', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'having', 'fucking', 'called', 'health', 'physically'})",5
0.002,"frozenset({'having', 'fucking', 'health', 'physically', 'mental'})",5
0.002,"frozenset({'having', 'fucking', 'called', 'physically', 'mental'})",5
0.002,"frozenset({'having', 'called', 'health', 'physically', 'ur'})",5
0.002,"frozenset({'having', 'health', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'having', 'called', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'having', 'called', 'health', 'physically', 'mental'})",5
0.002,"frozenset({'having', 'thing', 'fucking', 'physically', 'ur'})",5
0.002,"frozenset({'having', 'thing', 'fucking', 'health', 'physically'})",5
0.002,"frozenset({'having', 'thing', 'fucking', 'called', 'physically'})",5
0.002,"frozenset({'having', 'thing', 'fucking', 'physically', 'mental'})",5
0.002,"frozenset({'having', 'thing', 'health', 'physically', 'ur'})",5
0.002,"frozenset({'having', 'thing', 'called', 'physically', 'ur'})",5
0.002,"frozenset({'having', 'thing', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'having', 'thing', 'called', 'health', 'physically'})",5
0.002,"frozenset({'having', 'thing', 'health', 'physically', 'mental'})",5
0.002,"frozenset({'having', 'thing', 'called', 'physically', 'mental'})",5
0.002,"frozenset({'thing', 'fucking', 'health', 'physically', 'ur'})",5
0.002,"frozenset({'thing', 'fucking', 'called', 'physically', 'ur'})",5
0.002,"frozenset({'thing', 'fucking', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'thing', 'fucking', 'called', 'health', 'physically'})",5
0.002,"frozenset({'thing', 'fucking', 'health', 'physically', 'mental'})",5
0.002,"frozenset({'thing', 'fucking', 'called', 'physically', 'mental'})",5
0.002,"frozenset({'thing', 'called', 'health', 'physically', 'ur'})",5
0.002,"frozenset({'thing', 'health', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'thing', 'called', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'thing', 'called', 'health', 'physically', 'mental'})",5
0.002,"frozenset({'having', 'thing', 'bad', 'fucking', 'physically'})",5
0.002,"frozenset({'having', 'thing', 'bad', 'physically', 'ur'})",5
0.002,"frozenset({'having', 'thing', 'bad', 'health', 'physically'})",5
0.002,"frozenset({'having', 'thing', 'bad', 'called', 'physically'})",5
0.002,"frozenset({'having', 'thing', 'bad', 'physically', 'mental'})",5
0.002,"frozenset({'thing', 'bad', 'fucking', 'physically', 'ur'})",5
0.002,"frozenset({'thing', 'bad', 'fucking', 'health', 'physically'})",5
0.002,"frozenset({'thing', 'bad', 'fucking', 'called', 'physically'})",5
0.002,"frozenset({'thing', 'bad', 'fucking', 'physically', 'mental'})",5
0.002,"frozenset({'thing', 'bad', 'health', 'physically', 'ur'})",5
0.002,"frozenset({'thing', 'bad', 'called', 'physically', 'ur'})",5
0.002,"frozenset({'thing', 'bad', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'thing', 'bad', 'called', 'health', 'physically'})",5
0.002,"frozenset({'thing', 'bad', 'health', 'physically', 'mental'})",5
0.002,"frozenset({'thing', 'bad', 'called', 'physically', 'mental'})",5
0.002,"frozenset({'having', 'bad', 'fucking', 'physically', 'ur'})",5
0.002,"frozenset({'having', 'bad', 'fucking', 'health', 'physically'})",5
0.002,"frozenset({'having', 'bad', 'fucking', 'called', 'physically'})",5
0.002,"frozenset({'having', 'bad', 'fucking', 'physically', 'mental'})",5
0.002,"frozenset({'having', 'bad', 'health', 'physically', 'ur'})",5
0.002,"frozenset({'having', 'bad', 'called', 'physically', 'ur'})",5
0.002,"frozenset({'having', 'bad', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'having', 'bad', 'called', 'health', 'physically'})",5
0.002,"frozenset({'having', 'bad', 'health', 'physically', 'mental'})",5
0.002,"frozenset({'having', 'bad', 'called', 'physically', 'mental'})",5
0.002,"frozenset({'bad', 'fucking', 'health', 'physically', 'ur'})",5
