support,itemsets,length
0.002,"frozenset({'bad', 'fucking', 'called', 'physically', 'ur'})",5
0.002,"frozenset({'bad', 'fucking', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'bad', 'fucking', 'called', 'health', 'physically'})",5
0.002,"frozenset({'bad', 'fucking', 'health', 'physically', 'mental'})",5
0.002,"frozenset({'bad', 'fucking', 'called', 'physically', 'mental'})",5
0.002,"frozenset({'bad', 'called', 'health', 'physically', 'ur'})",5
0.002,"frozenset({'bad', 'health', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'bad', 'called', 'physically', 'ur', 'mental'})",5
0.002,"frozenset({'bad', 'called', 'health', 'physically', 'mental'})",5
0.002,"frozenset({'having', 'thing', 'bad', 'day', 'physically'})",5
0.002,"frozenset({'thing', 'bad', 'fucking', 'day', 'physically'})",5
